"测试/故障","func.1","func.2","func.3","func.4","func.5","func.6","func.7","func.8","func.9"
"func.1",0,1,1,1,1,1,0,1,0
"func.2",0,1,1,1,1,1,0,1,0
"func.3",1,1,0,0,1,0,1,0,0
"func.4",1,1,0,0,1,0,1,0,0
"func.5",0,1,1,1,1,1,0,1,0
"func.6",1,1,0,0,1,0,1,0,0
"func.7",0,1,1,1,1,1,0,1,0
"func.8",1,1,0,0,1,0,1,0,0
"func.9",0,1,0,0,1,0,0,0,0
"sig.T_A2_B2_u",0,1,0,0,1,0,0,0,0
"sig.T_A2_B2_i",0,1,0,0,1,0,0,0,0
"sig.L1_1_u",0,1,0,0,1,0,0,0,0
"sig.L1_1_i",0,1,0,0,1,0,0,0,0
"sig.L1_2_u",0,1,0,0,1,0,0,0,0
"sig.L1_2_i",0,1,0,0,1,0,0,0,0
"sig.QS_1_u",0,1,0,0,1,0,0,0,0
"sig.QS_1_i",0,1,0,0,1,0,0,0,0
"sig.QS_2_u",0,1,0,0,1,0,0,0,0
"sig.QS_2_i",0,1,0,0,1,0,0,0,0
"sig.L2_1_u",0,1,0,0,1,0,0,0,0
"sig.L2_1_i",0,1,0,0,1,0,0,0,0
"sig.L2_2_u",0,1,0,0,1,0,0,0,0
"sig.L2_2_i",0,1,0,0,1,0,0,0,0
"sig.QS_3_u",0,1,0,0,1,0,0,0,0
"sig.QS_3_i",0,1,0,0,1,0,0,0,0
"sig.QS_4_u",0,1,0,0,1,0,0,0,0
"sig.QS_4_i",0,1,0,0,1,0,0,0,0
"sig.FU_1_u",0,1,0,0,1,0,0,0,0
"sig.FU_1_i",0,1,0,0,1,0,0,0,0
"sig.FU_2_u",0,1,0,0,1,0,0,0,0
"sig.FU_2_i",0,1,0,0,1,0,0,0,0
"sig.FU_3_u",0,1,0,0,1,0,0,0,0
"sig.FU_3_i",0,1,0,0,1,0,0,0,0
"sig.L7_1_u",0,1,0,0,1,0,0,0,0
"sig.L7_1_i",0,1,0,0,1,0,0,0,0
"sig.L21_1_u",0,1,0,0,1,0,0,0,0
"sig.L21_1_i",0,1,0,0,1,0,0,0,0
"sig.FU_4_u",0,1,0,0,1,0,0,0,0
"sig.FU_4_i",0,1,0,0,1,0,0,0,0
"sig.L7_2_u",0,1,0,0,1,0,0,0,0
"sig.L7_2_i",0,1,0,0,1,0,0,0,0
"sig.L8_1_u",0,1,0,0,1,0,0,0,0
"sig.L8_1_i",0,1,0,0,1,0,0,0,0
"sig.L8_2_u",0,1,0,0,1,0,0,0,0
"sig.L8_2_i",0,1,0,0,1,0,0,0,0
"sig.KM_1_u",0,1,0,0,1,0,0,0,0
"sig.KM_1_i",0,1,0,0,1,0,0,0,0
"sig.KM_2_u",0,1,0,0,1,0,0,0,0
"sig.KM_2_i",0,1,0,0,1,0,0,0,0
"sig.KM_3_u",0,1,0,0,1,0,0,0,0
"sig.KM_3_i",0,1,0,0,1,0,0,0,0
"sig.KM_4_u",0,1,0,0,1,0,0,0,0
"sig.KM_4_i",0,1,0,0,1,0,0,0,0
"sig.FR_1_u",0,1,0,0,1,0,0,0,0
"sig.FR_1_i",0,1,0,0,1,0,0,0,0
"sig.FR_2_u",0,1,0,0,1,0,0,0,0
"sig.FR_2_i",0,1,0,0,1,0,0,0,0
"sig.FR_3_u",0,1,0,0,1,0,0,0,0
"sig.FR_3_i",0,1,0,0,1,0,0,0,0
"sig.FR_4_u",0,1,0,0,1,0,0,0,0
"sig.FR_4_i",0,1,0,0,1,0,0,0,0
"sig.M_A_B_u",0,1,0,0,1,0,0,0,0
"sig.M_A_B_i",0,1,0,0,1,0,0,0,0
"sig.L21_2_u",0,1,0,0,1,0,0,0,0
"sig.L21_2_i",0,1,0,0,1,0,0,0,0
"sig.FR_7_u",0,1,0,0,1,0,0,0,0
"sig.FR_7_i",0,1,0,0,1,0,0,0,0
"sig.FR_8_u",0,1,0,0,1,0,0,0,0
"sig.FR_8_i",0,1,0,0,1,0,0,0,0
"sig.L15_1_u",0,1,0,0,1,0,0,0,0
"sig.L15_1_i",0,1,0,0,1,0,0,0,0
"sig.L15_2_u",0,1,0,0,1,0,0,0,0
"sig.L15_2_i",0,1,0,0,1,0,0,0,0
"sig.SB1_1_u",0,1,0,0,1,0,0,0,0
"sig.SB1_1_i",0,1,0,0,1,0,0,0,0
"sig.SB1_2_u",0,1,0,0,1,0,0,0,0
"sig.SB1_2_i",0,1,0,0,1,0,0,0,0
"sig.L16_1_u",0,1,0,0,1,0,0,0,0
"sig.L16_1_i",0,1,0,0,1,0,0,0,0
"sig.L16_2_u",0,1,0,0,1,0,0,0,0
"sig.L16_2_i",0,1,0,0,1,0,0,0,0
"sig.SB2_1_u",0,1,0,0,1,0,0,0,0
"sig.SB2_1_i",0,1,0,0,1,0,0,0,0
"sig.L17_1_u",0,1,0,0,1,0,0,0,0
"sig.L17_1_i",0,1,0,0,1,0,0,0,0
"sig.L17_2_u",0,1,0,0,1,0,0,0,0
"sig.L17_2_i",0,1,0,0,1,0,0,0,0
"sig.KM_7_u",0,1,0,0,1,0,0,0,0
"sig.KM_7_i",0,1,0,0,1,0,0,0,0
"sig.KM_8_u",0,1,0,0,1,0,0,0,0
"sig.KM_8_i",0,1,0,0,1,0,0,0,0
"sig.L18_2_u",0,1,0,0,1,0,0,0,0
"sig.L18_2_i",0,1,0,0,1,0,0,0,0
"sig.SB2_2_u",0,1,0,0,1,0,0,0,0
"sig.SB2_2_i",0,1,0,0,1,0,0,0,0
"sig.L19_1_u",0,1,0,0,1,0,0,0,0
"sig.L19_1_i",0,1,0,0,1,0,0,0,0
"sig.L18_1_u",0,1,0,0,1,0,0,0,0
"sig.L18_1_i",0,1,0,0,1,0,0,0,0
"sig.L19_2_u",0,1,0,0,1,0,0,0,0
"sig.L19_2_i",0,1,0,0,1,0,0,0,0
"sig.L20_1_u",0,1,0,0,1,0,0,0,0
"sig.L20_1_i",0,1,0,0,1,0,0,0,0
"sig.L20_2_u",0,1,0,0,1,0,0,0,0
"sig.L20_2_i",0,1,0,0,1,0,0,0,0
"sig.KM_A1_A2_u",0,1,0,0,1,0,0,0,0
"sig.KM_A1_A2_i",0,1,0,0,1,0,0,0,0
